Product_ID,Product_Name,Category,Supplier_ID,Supplier_Name,Stock_Quantity,Reorder_Level,Reorder_Quantity,Unit_Price,Date_Received,Last_Order_Date,Expiration_Date,Warehouse_Location,Sales_Volume,Inventory_Turnover_Rate,Status,Expiry_Class,Days_Until_Expiry,Stock_Age,Stock_Value,Shelf_Life,Remaining_Shelf_Life_Ratio
57-394-4703,White Tea,Beverages,52-130-3457,Agivu,81,83,36,25.0,2024-10-26,2025-01-07,2025-07-09,38 Banding Lane,74,86,Backordered,Expired,-60,316,2025.0,256,0.0
35-621-2546,Swiss Cheese,Dairy,14-190-2260,Skiptube,85,89,41,8.0,2024-04-22,2024-04-07,2025-07-15,3 Fairfield Center,68,93,Discontinued,Expired,-54,503,680.0,449,0.0
83-108-1174,White Bread,Bakery,56-439-3559,Devpoint,78,68,68,2.5,2024-09-12,2024-03-05,2025-03-22,3 Monument Street,89,24,Backordered,Expired,-169,360,195.0,191,0.0
30-806-3823,Jasmine Rice,Grains & Pulses,36-451-3173,Topicware,53,26,3,4.75,2024-03-02,2024-07-04,2025-05-19,07 Pankratz Point,100,94,Active,Expired,-111,554,251.75,443,0.0
40-913-9772,Egg (Chicken),Dairy,51-215-2283,Einti,36,30,44,0.2,2024-04-11,2024-03-03,2025-04-30,553 Hooker Trail,68,88,Backordered,Expired,-130,514,7.2,384,0.0
70-534-7796,Zucchini,Fruits & Vegetables,62-044-8874,Babblestorm,43,21,31,2.5,2025-02-19,2024-06-25,2025-05-22,76106 Anthes Junction,22,25,Backordered,Expired,-108,200,107.5,92,0.0
88-977-0175,Chocolate Biscuit,Bakery,58-087-3463,Yodo,100,1,26,5.0,2024-08-02,2024-03-21,2025-06-09,7561 5th Terrace,47,79,Active,Expired,-90,401,500.0,311,0.0
77-377-1659,Almond Flour,Grains & Pulses,64-674-3902,Thoughtblab,74,22,91,9.5,2024-08-25,2025-01-22,2025-05-26,6 Acker Street,24,12,Active,Expired,-104,378,703.0,274,0.0
03-597-9488,Buttermilk,Dairy,03-983-0515,Wordpedia,70,66,74,2.5,2024-11-11,2024-07-11,2025-08-02,53 Lawn Circle,47,77,Active,Expired,-36,300,175.0,264,0.0
46-415-8633,Apple,Fruits & Vegetables,32-497-0478,Omba,71,36,45,3.5,2025-01-29,2024-11-17,2025-08-06,5 Eggendart Parkway,87,2,Backordered,Expired,-32,221,248.5,189,0.0
74-132-5528,Cauliflower,Fruits & Vegetables,41-713-1053,Vinder,63,62,98,2.5,2024-05-30,2024-03-21,2025-05-07,611 Fieldstone Drive,62,45,Backordered,Expired,-123,465,157.5,342,0.0
36-899-5324,Orange,Fruits & Vegetables,02-656-3112,Flashdog,94,58,17,2.9,2024-08-01,2024-07-05,2025-08-24,3 Bashford Court,57,74,Backordered,Expired,-14,402,272.59999999999997,388,0.0
20-387-7746,Powdered Sugar,Grains & Pulses,08-218-9429,Aivee,64,10,100,2.5,2024-10-14,2024-06-05,2025-08-06,9050 Dorton Pass,97,52,Active,Expired,-32,328,160.0,296,0.0
19-021-5024,Broccoli,Fruits & Vegetables,75-369-5047,Rhyzio,47,63,86,4.0,2024-05-19,2025-02-13,2025-06-24,4 Heffernan Lane,76,29,Active,Expired,-75,476,188.0,401,0.0
13-980-8804,Sweet Potato,Fruits & Vegetables,20-608-1290,Photospace,100,3,32,2.0,2024-08-19,2024-10-01,2025-03-28,41 Nelson Center,98,91,Backordered,Expired,-163,384,200.0,221,0.0
69-578-7930,Brown Rice,Grains & Pulses,37-728-5274,Flipbug,44,67,31,2.5,2024-07-14,2024-03-18,2025-05-12,83291 Hansons Crossing,44,72,Discontinued,Expired,-118,420,110.0,302,0.0
08-495-6853,Heavy Cream,Dairy,07-432-0137,Yadel,74,62,6,4.0,2024-12-27,2025-01-13,2025-08-15,7943 Amoth Parkway,65,96,Active,Expired,-23,254,296.0,231,0.0
67-725-6830,Brown Rice,Grains & Pulses,05-727-0033,Quinu,51,47,6,2.5,2024-11-23,2024-08-11,2025-05-12,9 Victoria Point,53,4,Backordered,Expired,-118,288,127.5,170,0.0
38-390-2115,Potato,Fruits & Vegetables,12-433-6490,Rhyzio,42,69,54,1.2,2025-01-19,2024-03-06,2025-07-03,3 Del Mar Point,43,96,Active,Expired,-66,231,50.4,165,0.0
67-025-1245,Cabbage,Fruits & Vegetables,28-575-0716,Chatterbridge,88,46,55,1.0,2024-04-09,2024-03-06,2025-03-22,51890 Lindbergh Terrace,73,63,Active,Expired,-169,516,88.0,347,0.0
76-340-4432,Cucumber,Fruits & Vegetables,79-915-4185,Brainverse,19,36,72,1.75,2024-05-03,2024-03-28,2025-06-14,157 David Center,31,81,Backordered,Expired,-85,492,33.25,407,0.0
53-710-7630,Rice Flour,Grains & Pulses,46-171-9624,Livetube,25,95,71,2.0,2024-06-25,2024-07-09,2025-06-05,996 Thierer Center,24,76,Backordered,Expired,-94,439,50.0,345,0.0
51-469-4611,Long Grain Rice,Grains & Pulses,62-029-0827,Fivebridge,62,81,91,1.6,2024-12-18,2024-05-24,2025-07-01,04776 Saint Paul Park,100,42,Discontinued,Expired,-68,263,99.2,195,0.0
40-810-9261,Green Coffee,Beverages,56-554-1762,Cogibox,75,47,33,12.5,2024-06-26,2024-12-09,2025-06-15,3 Raven Court,33,12,Discontinued,Expired,-84,438,937.5,354,0.0
10-626-8536,Coconut Sugar,Grains & Pulses,23-274-3305,Lazz,17,85,74,5.0,2024-05-01,2025-01-29,2025-06-19,38583 2nd Pass,76,89,Active,Expired,-80,494,85.0,414,0.0
60-198-7050,Green Tea,Beverages,27-493-6787,Photobug,26,59,54,8.0,2024-08-10,2024-11-24,2025-05-26,5306 Arkansas Avenue,92,49,Active,Expired,-104,393,208.0,289,0.0
41-475-5305,Rye Bread,Bakery,93-900-1170,Kwideo,61,20,29,3.0,2024-04-19,2024-03-13,2025-07-31,88 Hooker Parkway,71,97,Backordered,Expired,-38,506,183.0,468,0.0
81-578-7404,Gouda Cheese,Dairy,90-177-6733,Rhyloo,67,79,98,7.0,2025-02-13,2024-08-11,2025-08-03,5989 Longview Drive,73,36,Active,Expired,-35,206,469.0,171,0.0
51-459-5630,Sour Cream,Dairy,29-567-3732,Skyvu,11,30,4,4.0,2024-08-02,2024-09-29,2025-03-31,805 Center Parkway,84,4,Active,Expired,-160,401,44.0,241,0.0
14-550-2152,Green Tea,Beverages,60-003-2919,Livepath,51,1,61,7.6,2024-03-29,2024-06-18,2025-05-08,3 Forster Point,96,26,Active,Expired,-122,527,387.59999999999997,405,0.0
93-198-5984,Mango,Fruits & Vegetables,86-441-7850,Skalith,73,69,1,5.0,2024-11-05,2024-05-14,2025-08-23,54706 Prairieview Point,50,67,Active,Expired,-15,306,365.0,291,0.0
24-009-1208,White Tea,Beverages,96-405-4286,Aivee,62,31,24,25.0,2024-04-30,2024-06-10,2025-04-05,99 Duke Lane,89,100,Backordered,Expired,-155,495,1550.0,340,0.0
92-551-8504,Raw Sugar,Grains & Pulses,22-836-5101,Livepath,19,81,33,1.5,2024-06-29,2025-02-22,2025-07-06,461 Bluejay Circle,39,85,Backordered,Expired,-63,435,28.5,372,0.0
96-961-2193,Jasmine Rice,Grains & Pulses,71-467-4910,Babbleset,46,39,11,4.75,2024-10-10,2024-08-16,2025-05-28,63578 Butternut Hill,36,54,Active,Expired,-102,332,218.5,230,0.0
07-389-5740,Egg (Quail),Dairy,72-784-3292,Skimia,34,94,69,0.8,2025-01-03,2024-03-12,2025-05-07,59 Veith Center,96,30,Backordered,Expired,-123,247,27.200000000000003,124,0.0
83-625-3618,Asparagus,Fruits & Vegetables,64-528-9996,Realmix,68,12,73,5.0,2024-08-05,2025-01-11,2025-08-13,2696 Katie Road,84,95,Backordered,Expired,-25,398,340.0,373,0.0
08-703-1382,Peach,Fruits & Vegetables,29-975-3449,Wikizz,40,53,7,4.0,2025-02-21,2024-03-06,2025-05-31,082 Clove Plaza,70,20,Backordered,Expired,-99,198,160.0,99,0.0
05-899-1428,Avocado Oil,Oils & Fats,17-494-5505,Dabjam,14,75,10,10.0,2024-10-04,2025-01-25,2025-04-22,591 Maple Junction,65,62,Active,Expired,-138,338,140.0,200,0.0
99-033-5661,Rice Flour,Grains & Pulses,32-458-6452,Zava,42,3,21,2.0,2024-09-19,2025-01-27,2025-06-30,289 Longview Point,35,22,Active,Expired,-69,353,84.0,284,0.0
92-791-0606,Short Grain Rice,Grains & Pulses,56-050-1773,Photobean,18,62,2,3.0,2024-03-26,2024-04-28,2025-05-18,739 Grayhawk Trail,61,78,Discontinued,Expired,-112,530,54.0,418,0.0
87-104-0187,Whole Wheat Flour,Grains & Pulses,41-881-1166,Rhyloo,86,100,78,2.75,2024-04-06,2024-05-28,2025-07-17,0 Moose Lane,52,91,Backordered,Expired,-52,519,236.5,467,0.0
29-756-7042,Digestive Biscuit,Bakery,20-426-2191,Dabvine,90,52,50,4.0,2024-06-29,2024-04-15,2025-03-25,99 Fair Oaks Circle,63,14,Discontinued,Expired,-166,435,360.0,269,0.0
40-997-2786,Yogurt,Dairy,18-743-4684,Browsecat,76,98,41,1.75,2024-11-14,2024-05-23,2025-07-14,5551 Mallory Lane,62,48,Backordered,Expired,-55,297,133.0,242,0.0
43-893-5408,Short Grain Rice,Grains & Pulses,25-414-2945,Snaptags,60,90,85,3.0,2025-01-21,2024-03-20,2025-08-25,6 Orin Place,47,9,Discontinued,Expired,-13,229,180.0,216,0.0
89-335-0155,Brown Rice,Grains & Pulses,83-780-4531,Fivebridge,46,81,47,2.5,2024-09-05,2024-09-11,2025-06-12,9 Kipling Road,48,48,Active,Expired,-87,367,115.0,280,0.0
84-546-7624,Cherry,Fruits & Vegetables,34-730-9079,Gigazoom,43,41,100,8.0,2024-06-16,2024-04-08,2025-06-08,61057 Hallows Junction,27,78,Active,Expired,-91,448,344.0,357,0.0
53-667-4109,Onion,Fruits & Vegetables,40-800-4739,Voolith,16,75,42,2.0,2024-07-23,2024-03-21,2025-05-24,992 East Point,22,46,Active,Expired,-106,411,32.0,305,0.0
20-225-3930,White Tea,Beverages,73-069-2753,Skipstorm,99,87,10,25.0,2024-12-08,2024-02-29,2025-03-19,5756 Stephen Avenue,93,70,Active,Expired,-172,273,2475.0,101,0.0
73-751-4393,Onion,Fruits & Vegetables,14-486-5626,Skyndu,68,10,29,2.0,2024-10-31,2024-06-07,2025-07-25,03 Roth Court,37,11,Discontinued,Expired,-44,311,136.0,267,0.0
66-993-4234,Cucumber,Fruits & Vegetables,15-852-0491,Gigazoom,13,60,100,1.8,2024-07-18,2025-01-16,2025-03-28,22 Dexter Trail,44,32,Backordered,Expired,-163,416,23.400000000000002,253,0.0
10-445-0741,Anchovies,Seafood,82-470-7146,Mybuzz,83,17,39,10.0,2024-06-03,2024-07-11,2025-06-05,31 Loomis Park,33,20,Active,Expired,-94,461,830.0,367,0.0
11-922-3342,Black Coffee,Beverages,33-523-9077,Gabspot,24,77,32,15.5,2024-03-18,2024-06-10,2025-03-25,094 Carberry Lane,80,42,Discontinued,Expired,-166,538,372.0,372,0.0
47-663-5703,Basmati Rice,Grains & Pulses,52-062-2916,Kanoodle,15,49,40,4.5,2024-12-06,2024-06-14,2025-04-25,6500 Raven Drive,68,74,Discontinued,Expired,-135,275,67.5,140,0.0
76-459-2392,Palm Oil,Oils & Fats,91-030-6609,Fivebridge,74,4,67,1.8,2024-03-26,2024-04-13,2025-04-15,2005 Mccormick Road,31,34,Backordered,Expired,-145,530,133.20000000000002,385,0.0
00-641-8691,Black Coffee,Beverages,34-824-0575,Brainverse,33,22,94,15.0,2024-11-28,2024-09-24,2025-06-05,797 Mcbride Lane,96,56,Discontinued,Expired,-94,283,495.0,189,0.0
24-478-8277,Multigrain Bread,Bakery,64-070-7611,Bubblebox,47,26,40,3.25,2024-12-13,2025-01-12,2025-04-07,55276 Golf Hill,30,72,Active,Expired,-153,268,152.75,115,0.0
56-810-0550,Mackerel,Seafood,94-145-9423,Janyx,71,7,6,7.5,2024-08-29,2024-12-02,2025-09-02,376 Reinke Court,52,68,Backordered,Expired,-5,374,532.5,369,0.0
49-199-6836,Tomato,Fruits & Vegetables,81-999-7392,Thoughtbeat,100,64,62,2.5,2024-12-15,2024-12-30,2025-07-11,77 Brown Circle,84,44,Discontinued,Expired,-58,266,250.0,208,0.0
69-674-5387,Yogurt,Dairy,04-313-0298,Miboo,59,27,63,1.75,2024-06-15,2024-06-27,2025-03-24,6211 Hanson Terrace,92,82,Discontinued,Expired,-167,449,103.25,282,0.0
60-550-4771,Haddock,Seafood,24-568-9517,Kwimbee,75,80,87,9.0,2024-07-06,2024-10-03,2025-06-12,1 Monica Lane,49,40,Backordered,Expired,-87,428,675.0,341,0.0
65-718-0492,Olive Oil,Oils & Fats,91-492-8216,Midel,100,92,26,6.0,2024-05-05,2025-01-23,2025-06-20,8626 Chinook Parkway,84,9,Active,Expired,-79,490,600.0,411,0.0
24-228-6840,Herbal Tea,Beverages,26-280-5472,Myworks,27,1,3,30.0,2024-04-16,2024-08-09,2025-07-24,68241 Hanson Circle,34,63,Backordered,Expired,-45,509,810.0,464,0.0
24-310-9184,Rye Bread,Bakery,69-378-2045,Brainlounge,69,65,91,3.0,2024-07-05,2024-07-26,2025-06-12,6 Haas Circle,98,50,Backordered,Expired,-87,429,207.0,342,0.0
60-311-5701,Sesame Oil,Oils & Fats,07-578-7055,Shuffledrive,39,78,97,6.5,2024-10-29,2024-10-19,2025-08-10,9 Meadow Vale Drive,54,89,Backordered,Expired,-28,313,253.5,285,0.0
33-670-6797,Mackerel,Seafood,74-032-7560,Wikido,45,56,64,7.5,2024-07-14,2024-08-26,2025-05-30,2869 Hudson Drive,35,82,Discontinued,Expired,-100,420,337.5,320,0.0
27-216-9671,Sesame Oil,Oils & Fats,40-773-7065,Skilith,100,86,94,6.5,2024-08-11,2024-04-12,2025-05-28,4 Browning Terrace,77,57,Active,Expired,-102,392,650.0,290,0.0
89-181-4523,Wild Rice,Grains & Pulses,54-749-3622,Devbug,46,6,64,10.0,2024-07-23,2024-06-23,2025-08-23,022 Prairie Rose Drive,63,29,Discontinued,Expired,-15,411,460.0,396,0.0
80-459-5950,Arabica Coffee,Beverages,04-866-2231,Rhyzio,74,10,74,20.0,2024-07-27,2024-10-02,2025-07-12,5 Killdeer Trail,100,66,Backordered,Expired,-57,407,1480.0,350,0.0
57-394-1587,Bread Flour,Grains & Pulses,59-595-7531,Roomm,57,63,41,1.5,2024-08-25,2025-02-17,2025-05-09,561 Blue Bill Park Road,53,94,Discontinued,Expired,-121,378,85.5,257,0.0
98-148-0940,Egg (Chicken),Dairy,06-175-9657,Babblestorm,63,62,18,0.2,2024-04-17,2024-04-02,2025-08-14,588 Waywood Trail,67,17,Active,Expired,-24,508,12.600000000000001,484,0.0
88-183-5781,Whole Wheat Bread,Bakery,49-247-1217,Lazz,17,63,3,3.5,2024-08-02,2024-08-24,2025-07-08,46 Delaware Place,93,26,Backordered,Expired,-61,401,59.5,340,0.0
84-151-2114,Brown Rice,Grains & Pulses,79-704-1471,Avamm,39,57,54,2.5,2024-12-06,2024-03-06,2025-03-26,12 Rigney Street,77,32,Active,Expired,-165,275,97.5,110,0.0
28-968-4195,Eggplant,Fruits & Vegetables,17-562-1176,Blogtag,97,52,80,3.0,2025-01-19,2024-07-17,2025-08-10,5 Loftsgordon Trail,22,90,Backordered,Expired,-28,231,291.0,203,0.0
31-608-1445,Papaya,Fruits & Vegetables,75-286-4153,Ntag,84,28,29,4.4,2025-02-09,2025-02-15,2025-04-02,227 Tennyson Plaza,54,32,Discontinued,Expired,-158,210,369.6,52,0.0
20-022-3173,Bread Flour,Grains & Pulses,54-188-1006,Mydeo,21,63,65,1.5,2024-10-08,2024-11-10,2025-04-14,81878 Nobel Point,38,73,Discontinued,Expired,-146,334,31.5,188,0.0
70-206-4860,Egg (Quail),Dairy,82-527-9395,Meejo,93,68,71,0.8,2025-02-09,2024-03-11,2025-06-12,75 High Crossing Junction,30,37,Discontinued,Expired,-87,210,74.4,123,0.0
53-680-5293,Cheddar Cheese,Dairy,47-732-4446,Demizz,88,74,97,9.0,2024-05-28,2024-05-31,2025-08-11,97687 Mendota Terrace,79,5,Active,Expired,-27,467,792.0,440,0.0
53-146-9979,Powdered Sugar,Grains & Pulses,44-388-2451,Skidoo,21,15,27,2.5,2025-02-05,2024-10-11,2025-06-06,42 Mandrake Alley,37,41,Active,Expired,-93,214,52.5,121,0.0
64-119-7804,Bell Pepper,Fruits & Vegetables,53-497-9614,Jaxbean,98,43,9,4.5,2024-06-25,2024-03-06,2025-06-22,06584 Mendota Avenue,86,62,Backordered,Expired,-77,439,441.0,362,0.0
21-718-6746,Coconut,Fruits & Vegetables,96-012-3393,Eamia,16,53,12,5.0,2024-06-11,2025-01-20,2025-03-21,277 Pawling Terrace,21,29,Discontinued,Expired,-170,453,80.0,283,0.0
03-940-0630,Sunflower Oil,Oils & Fats,49-762-8263,Skibox,23,43,75,2.5,2024-11-08,2024-10-31,2025-06-28,27408 Burning Wood Street,91,86,Discontinued,Expired,-71,303,57.5,232,0.0
81-354-4203,Haddock,Seafood,15-466-5131,Yabox,76,57,78,9.0,2024-06-18,2024-06-27,2025-03-21,12 Luster Terrace,52,86,Discontinued,Expired,-170,446,684.0,276,0.0
21-252-1360,Corn Oil,Oils & Fats,28-314-1189,Shuffletag,75,23,34,2.5,2024-06-22,2024-09-04,2025-07-25,32 Charing Cross Pass,100,54,Backordered,Expired,-44,442,187.5,398,0.0
29-017-6255,Bell Pepper,Fruits & Vegetables,43-348-2450,Eimbee,46,64,17,4.6,2024-03-01,2025-01-06,2025-08-03,20 Pennsylvania Parkway,96,55,Discontinued,Expired,-35,555,211.6,520,0.0
40-205-8252,Multigrain Bread,Bakery,68-493-0378,Innojam,38,37,27,3.5,2024-06-14,2024-10-05,2025-03-17,883 Marcy Place,45,88,Backordered,Expired,-174,450,133.0,276,0.0
82-380-5378,Cheese,Dairy,96-353-3049,Oozz,78,24,31,9.0,2024-06-01,2024-06-03,2025-08-10,05518 Saint Paul Street,60,41,Active,Expired,-28,463,702.0,435,0.0
65-235-7676,Whole Wheat Bread,Bakery,22-083-3504,Quire,91,71,17,3.5,2025-01-10,2024-08-01,2025-08-17,31208 Westerfield Way,74,57,Active,Expired,-21,240,318.5,219,0.0
72-404-5581,Almond Flour,Grains & Pulses,18-065-8014,Pixonyx,54,17,90,9.5,2025-01-23,2024-08-07,2025-07-06,879 Amoth Terrace,60,20,Active,Expired,-63,227,513.0,164,0.0
83-727-0814,Basmati Rice,Grains & Pulses,79-656-1990,Yodo,11,87,64,4.5,2024-08-30,2024-06-08,2025-06-08,28 Boyd Pass,29,6,Active,Expired,-91,373,49.5,282,0.0
51-572-5497,Orange,Fruits & Vegetables,43-035-3382,Kanoodle,15,44,88,3.0,2024-08-31,2025-02-13,2025-05-11,9516 Burrows Circle,56,12,Discontinued,Expired,-119,372,45.0,253,0.0
91-290-9062,Digestive Biscuit,Bakery,95-609-1485,Zoonder,29,2,84,4.0,2024-03-21,2024-04-19,2025-06-29,9821 Novick Hill,80,85,Backordered,Expired,-70,535,116.0,465,0.0
12-046-2988,Corn Oil,Oils & Fats,37-630-2250,Youbridge,17,63,66,2.5,2025-01-25,2025-01-24,2025-08-05,931 Browning Center,23,46,Backordered,Expired,-33,225,42.5,192,0.0
82-977-7752,Spinach,Fruits & Vegetables,57-473-8672,Shuffledrive,88,78,17,2.5,2024-09-06,2024-12-28,2025-04-02,58 Corscot Terrace,58,21,Active,Expired,-158,366,220.0,208,0.0
46-632-8420,Whipped Cream,Dairy,27-996-8883,Skippad,98,24,4,4.1,2024-03-08,2024-12-21,2025-07-21,9 Meadow Ridge Center,89,80,Active,Expired,-48,548,401.79999999999995,500,0.0
68-761-6907,Zucchini,Fruits & Vegetables,31-199-3683,Brainverse,26,18,62,2.5,2024-07-28,2024-07-21,2025-07-11,9695 Alpine Trail,57,86,Discontinued,Expired,-58,406,65.0,348,0.0
28-275-5901,Anchovies,Seafood,44-760-4337,Jatri,64,1,92,10.0,2024-04-05,2024-04-23,2025-07-10,4 Doe Crossing Avenue,49,15,Active,Expired,-59,520,640.0,461,0.0
96-164-0607,Coconut Oil,Oils & Fats,15-655-3923,Browsezoom,89,79,66,5.0,2024-07-31,2024-12-20,2025-08-31,1275 Lawn Center,91,31,Discontinued,Expired,-7,403,445.0,396,0.0
46-255-3073,Tilapia,Seafood,68-230-9130,Vinder,30,42,8,7.0,2024-05-02,2025-01-06,2025-04-29,57 Eastwood Junction,48,23,Active,Expired,-131,493,210.0,362,0.0
14-305-9690,Sushi Rice,Grains & Pulses,13-457-9946,Dabshots,19,17,14,4.3,2024-08-30,2024-06-29,2025-06-17,43107 Schlimgen Circle,58,23,Active,Expired,-82,373,81.7,291,0.0
40-795-0753,Raw Sugar,Grains & Pulses,47-183-4911,Mydo,31,43,80,1.5,2024-05-28,2025-02-22,2025-04-02,66879 Susan Place,46,78,Backordered,Expired,-158,467,46.5,309,0.0
65-464-5070,Heavy Cream,Dairy,01-517-7793,Ntags,12,60,73,4.0,2025-02-03,2024-03-16,2025-08-30,00 Luster Alley,20,35,Discontinued,Expired,-8,216,48.0,208,0.0
32-676-1026,Salmon,Seafood,98-155-9583,Buzzshare,52,46,12,15.0,2024-12-18,2024-06-04,2025-08-05,9433 Jenna Lane,43,34,Backordered,Expired,-33,263,780.0,230,0.0
63-270-7076,Multigrain Bread,Bakery,85-532-0172,Roombo,65,36,37,3.5,2024-04-21,2024-06-12,2025-05-25,6 Lunder Parkway,32,70,Backordered,Expired,-105,504,227.5,399,0.0
34-547-0827,White Rice,Grains & Pulses,30-853-8580,Wikibox,54,53,33,1.8,2024-04-07,2025-01-17,2025-07-05,18 Comanche Junction,94,82,Backordered,Expired,-64,518,97.2,454,0.0
64-493-5270,Palm Oil,Oils & Fats,36-964-9838,Dynabox,69,59,29,1.8,2024-10-30,2024-05-23,2025-07-26,4571 Fremont Way,63,91,Active,Expired,-43,312,124.2,269,0.0
20-283-0111,Pear,Fruits & Vegetables,60-394-8955,Cogidoo,58,55,5,4.45,2024-12-31,2024-04-17,2025-08-20,0 Ruskin Way,62,89,Active,Expired,-18,250,258.1,232,0.0
52-392-5312,All-Purpose Flour,Grains & Pulses,78-092-4768,Pixonyx,50,42,20,1.75,2024-11-06,2025-02-19,2025-03-20,336 Old Shore Lane,87,59,Active,Expired,-171,305,87.5,134,0.0
07-337-9889,Cauliflower,Fruits & Vegetables,84-949-8378,Twitterwire,95,6,59,2.5,2024-12-31,2024-08-15,2025-06-15,4 Loomis Way,49,77,Active,Expired,-84,250,237.5,166,0.0
